n,Marca temporal,1) ¿Cuál es su nivel más alto de estudios?,2) ¿Cuál es su edad?,3) Indique su sexo,4) Estado civil,5) ¿Actualmente se encuentra trabajando?,"6) ¿Cuántas horas a la semana trabaja? (si no trabaja, escriba un cero)",7) ¿Tienes hijos(as) o personas a su cuidado actualmente?,8) Ingresos económicos de su hogar aproximado (en pesos) en total.,9) Tipo de establecimiento secundario del que egresó,10) Tipo de formación en su educación secundaria,11) Nivel educativo alcanzado por su madre/tutor (seleccione la última cursada y aprobada),12) Nivel educativo alcanzado por su padre/tutor (seleccione la última cursada y aprobada),13) Usted está diagnosticado de acuerdo a las siguientes categorías:,emp_1,emp_2,emp_3,emp_4,emp_5,emp_6,emp_7,emp_8,emp_9,emp_10,control_1,sq_1,sq_2,sq_3,sq_4,sq_5,sq_6,sq_7,sq_8,sq_9,sq_10,control_2,ale_1,ale_2,ale_3,ale_4,ale_5,ale_6,ale_7,ale_8,ale_9,ale_10,ale_11,ale_12,ale_13,ale_14,ale_15,ale_16,ale_17,ale_18,ale_19,ale_20,ie_1,ie_2,ie_3,ie_4,ie_5,ie_6,ie_7,ie_8,ie_9,ie_10,ie_11,ie_12,ie_13,ie_14,ie_15,ie_16,ie_17,ie_18,ie_19,ie_20,ie_21,ie_22,ie_23,ie_24,control_3,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_7,EQ_total,SQ_total,ale1_iden_sent,ale2_des_sent,ale3_pen_ext,int_emo_1_perc_emo,int_emo_2_compr_emo,int_emo_3_reg_emo,toma_pers
477,2021/06/21 7:56:34 p. m. GMT,NA,24,Hombre,Soltero,Sí,9,No,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,1,0,1,2,0,2,0,1,1,0,0,0,2,2,0,2,0,0,2,2,4,5,2,3,1,4,4,1,1,4,1,4,1,5,4,4,1,5,1,4,5,2,3,2,1,2,2,5,4,4,2,4,4,4,4,4,5,5,4,4,3,5,5,4,2,4,5,2,4,5,5,7,7,18,15,13,21,31,35,27
478,2021/06/21 8:35:41 p. m. GMT,NA,20,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,Síndrome de Asperger,0,0,0,1,0,0,0,1,1,0,1,2,0,0,0,1,1,0,2,0,0,2,4,4,2,5,2,4,3,2,4,2,2,2,1,3,4,2,4,2,4,2,3,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,4,2,4,2,4,4,3,4,2,4,3,6,21,17,10,20,16,23,23
479,2021/06/21 11:48:51 p. m. GMT,NA,21,Hombre,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,2,2,1,0,2,1,1,2,1,2,0,0,2,0,2,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,5,5,1,5,4,4,4,2,2,4,4,5,4,4,4,4,4,4,4,3,4,4,2,4,4,5,4,4,4,4,4,2,4,2,5,15,12,7,7,6,29,33,30,25
480,2021/06/21 11:51:20 p. m. GMT,NA,30,Mujer,Soltero,No,0,Sí,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,2,2,2,1,1,1,1,2,1,2,0,1,1,2,1,1,2,2,4,2,2,3,2,3,3,2,2,1,2,1,2,4,3,4,4,4,4,3,4,3,3,4,3,2,2,3,3,3,3,4,4,3,3,3,2,2,2,3,3,3,5,3,4,4,4,4,3,3,3,4,14,13,20,12,8,24,26,23,25
481,2021/06/22 1:03:31 a. m. GMT,NA,25,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,1,1,2,2,0,2,1,1,2,0,2,0,0,2,1,1,2,2,2,3,2,2,2,4,3,2,2,2,1,2,2,3,3,2,2,2,5,2,2,5,5,5,5,4,4,4,5,4,4,3,4,4,4,4,4,3,3,3,3,4,4,5,4,4,4,4,5,2,5,4,4,14,12,18,10,9,37,31,29,28
482,2021/06/22 2:36:55 a. m. GMT,NA,23,Hombre,Soltero,Sí,20,No,Sobre los valores anteriores,Municipal,Técnico profesional,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,1,0,2,1,0,0,0,0,1,1,2,2,2,2,2,0,2,2,2,0,2,2,1,2,1,1,1,1,1,1,1,2,5,1,1,4,1,1,5,5,1,4,3,3,5,2,1,1,1,5,5,5,5,5,5,5,5,5,5,3,5,5,5,1,1,4,1,4,5,1,4,4,3,7,16,9,10,7,20,40,30,22
483,2021/06/22 2:53:42 a. m. GMT,NA,19,Mujer,Soltero,Sí,9,No,700.000 a 890.000,Municipal,Científico humanista,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,2,1,2,1,1,2,2,2,2,1,2,2,0,0,0,1,0,0,1,1,2,3,4,3,2,2,2,3,5,1,1,4,5,3,3,2,4,5,5,3,3,5,4,4,4,4,2,4,5,5,2,4,5,4,1,2,5,5,5,5,5,5,5,5,4,4,4,5,5,2,5,4,5,15,7,18,20,10,32,28,39,30
484,2021/06/22 3:16:36 a. m. GMT,NA,23,Mujer,Conviviente,Sí,20,No,300.000 a 490.000,Particular subvencionado,Técnico profesional,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,2,1,1,1,2,2,2,1,1,1,2,1,1,0,0,2,1,2,2,4,4,5,4,1,3,5,1,4,1,4,5,2,4,4,1,5,3,3,1,3,3,3,4,2,3,3,3,3,2,2,2,2,1,4,3,1,2,1,2,3,3,3,5,4,4,4,4,5,5,5,5,14,11,27,22,7,24,19,20,32
485,2021/06/22 5:05:07 a. m. GMT,NA,26,Hombre,Soltero,Sí,20,Sí,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,2,1,2,1,1,2,1,2,0,2,0,0,0,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,3,1,1,5,5,1,4,2,5,5,2,5,5,5,4,4,5,5,5,5,4,5,5,5,4,5,5,5,4,4,4,5,5,5,4,5,4,4,15,11,8,8,7,33,37,37,32
486,2021/06/22 6:17:48 a. m. GMT,NA,23,Mujer,Soltero,No,0,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,1,2,1,1,1,0,0,0,0,1,0,0,2,1,2,2,2,1,2,5,1,1,4,2,1,1,1,1,1,1,1,2,5,5,3,5,5,5,5,3,4,4,5,4,5,5,5,5,4,5,5,4,5,3,3,4,5,5,5,4,5,5,5,5,5,4,4,18,5,9,8,11,36,38,34,33
487,2021/06/22 6:40:56 a. m. GMT,NA,25,Mujer,Soltero,No,0,No,700.000 a 890.000,Municipal,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,0,1,0,1,0,0,1,2,0,2,1,0,2,0,2,1,1,2,5,4,3,2,2,5,5,1,1,2,1,1,3,5,1,1,1,4,4,1,4,5,3,3,4,4,2,4,3,3,3,4,5,3,4,5,2,2,2,2,5,3,5,4,4,4,2,3,4,2,1,2,10,11,27,9,6,29,30,25,18
488,2021/06/22 3:17:37 p. m. GMT,NA,24,Mujer,Soltero,No,0,No,Sobre los valores anteriores,Particular pagado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,1,2,1,2,0,1,0,1,1,0,1,0,0,0,2,1,0,0,2,4,4,3,2,2,3,2,2,3,1,3,1,3,5,5,2,5,4,5,1,5,5,5,5,5,4,5,5,4,4,4,4,4,3,4,5,3,3,3,3,4,4,4,3,4,4,3,4,3,3,2,4,11,5,23,15,10,39,32,27,23
489,2021/06/23 3:26:07 a. m. GMT,NA,21,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,2,1,1,2,1,2,0,1,1,1,0,0,0,1,0,0,0,0,2,2,2,1,2,2,2,2,4,2,1,2,2,2,3,2,2,4,5,5,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,2,3,4,4,5,4,4,5,5,5,4,5,5,5,13,3,14,12,9,31,29,30,34
490,2021/06/23 4:29:08 a. m. GMT,NA,22,Mujer,Soltero,Sí,20,No,300.000 a 490.000,Particular pagado,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,0,2,2,1,2,0,1,0,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,3,2,5,5,2,5,5,5,5,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,3,5,5,5,18,14,7,9,6,38,39,39,33
491,2021/06/23 5:12:36 p. m. GMT,NA,21,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,2,1,1,2,2,2,1,1,2,0,2,1,2,1,2,2,2,2,2,5,3,3,2,3,1,2,1,1,1,1,2,1,1,3,1,2,5,5,3,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4,5,4,4,5,5,1,5,15,16,14,10,8,39,32,35,29
492,2021/06/23 7:35:51 p. m. GMT,NA,22,Hombre,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,1,0,2,1,1,2,0,0,1,0,2,1,1,0,2,2,3,3,2,2,2,2,2,3,2,2,3,2,2,1,3,3,2,4,5,1,4,4,5,4,1,3,3,4,4,4,4,3,4,2,3,4,5,5,4,5,5,5,4,3,4,3,4,4,2,5,4,4,10,9,14,12,10,28,28,36,26
493,2021/06/23 10:10:33 p. m. GMT,NA,22,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza básica incompleta,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,2,1,2,1,1,0,1,0,0,0,0,0,2,0,1,1,0,2,2,4,3,4,2,2,2,3,2,1,5,4,2,2,4,3,5,5,4,4,4,5,3,5,1,4,3,4,4,5,4,3,5,2,3,4,5,5,3,5,4,4,5,4,4,4,4,3,2,4,4,4,11,4,15,22,10,29,30,35,25
494,2021/06/24 2:46:28 a. m. GMT,NA,22,Mujer,Soltero,No,0,Sí,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,0,2,2,2,2,2,2,3,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,4,5,5,5,20,16,9,6,8,32,40,40,31
495,2021/06/24 3:35:02 a. m. GMT,NA,26,Mujer,Soltero,No,0,Sí,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,2,1,1,1,1,2,1,1,1,0,0,0,2,1,0,2,1,0,2,1,4,3,2,1,1,3,2,1,1,2,4,3,3,1,2,2,5,5,2,5,5,5,5,3,2,5,5,4,4,5,5,5,4,5,5,5,5,3,5,4,5,3,2,4,2,3,5,4,4,3,3,11,7,15,14,5,35,37,32,24
496,2021/06/25 4:05:18 p. m. GMT,NA,24,Hombre,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,2,2,2,1,1,1,1,1,1,1,0,1,0,2,1,1,1,2,2,1,1,2,1,2,4,2,1,1,2,2,2,1,4,3,2,5,5,3,4,4,4,5,2,5,5,5,4,5,4,5,5,5,5,5,5,5,3,4,5,4,5,4,4,4,5,5,4,5,4,5,16,9,13,9,8,34,38,35,32
497,2021/06/25 4:40:00 p. m. GMT,NA,25,Mujer,Soltero,No,0,Sí,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,1,2,2,1,2,1,1,0,1,2,0,0,0,1,2,1,2,2,2,2,1,3,2,2,1,5,1,1,4,2,1,1,2,1,2,3,5,1,5,5,4,5,4,4,4,4,4,4,4,4,4,2,4,5,5,5,4,5,4,4,4,4,4,4,4,5,4,4,4,5,16,9,9,13,10,35,31,35,30
498,2021/06/25 6:03:36 p. m. GMT,NA,23,Hombre,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,1,1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,3,2,4,2,2,1,2,2,1,1,3,3,2,4,5,2,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,11,16,13,9,9,35,32,30,28
499,2021/06/25 6:41:34 p. m. GMT,NA,19,Mujer,Soltero,No,0,Sí,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza básica incompleta,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,2,0,2,0,0,1,0,1,0,1,2,2,0,1,2,1,1,0,2,4,5,3,5,1,4,3,2,2,2,5,5,4,5,5,1,5,5,5,1,5,5,5,5,4,5,5,5,2,3,3,3,3,3,3,4,1,1,1,1,4,5,3,2,4,1,3,3,1,5,3,3,7,10,25,25,10,39,24,18,19
500,2021/06/25 9:27:12 p. m. GMT,NA,23,Mujer,Unión civil,No,0,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,2,1,1,2,2,1,2,1,2,0,1,1,0,2,0,2,2,1,2,4,3,1,2,2,4,4,2,4,1,2,3,4,4,3,2,4,4,5,1,5,5,4,3,4,4,4,4,4,4,3,4,4,2,4,4,3,3,2,2,2,5,5,2,4,4,5,5,4,5,3,4,16,11,25,14,8,33,29,24,30
501,2021/06/26 12:43:18 a. m. GMT,NA,23,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,1,1,2,2,1,1,0,1,2,2,0,0,2,1,0,1,0,0,2,3,3,3,2,4,2,1,1,1,1,2,1,1,1,2,1,1,5,5,2,4,4,4,5,3,4,3,3,3,4,4,4,4,3,3,4,3,3,3,2,4,4,4,3,4,3,4,4,3,3,4,3,13,8,12,9,8,30,29,26,24
502,2021/06/26 1:16:30 a. m. GMT,NA,27,Mujer,Soltero,Sí,15,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,1,1,1,2,0,2,2,1,1,2,1,0,2,2,1,0,2,0,2,2,3,1,3,2,2,2,1,1,2,2,3,1,2,3,2,5,4,4,4,4,3,4,4,2,4,3,3,2,3,2,4,3,2,4,3,3,4,2,3,5,4,4,4,4,4,5,4,4,5,4,5,9,11,11,16,8,27,23,29,31
503,2021/06/26 1:40:07 a. m. GMT,NA,25,Hombre,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,1,2,1,2,1,1,1,1,0,1,1,0,2,0,0,2,2,2,1,1,1,2,2,1,1,2,1,1,1,4,1,1,2,3,4,4,5,1,4,5,5,5,3,2,5,5,5,5,5,5,5,4,4,5,5,4,3,4,5,3,5,4,4,5,5,5,4,5,5,5,16,9,7,12,7,34,38,33,34
504,2021/06/26 1:58:17 a. m. GMT,NA,22,Hombre,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,1,1,2,1,1,2,1,2,1,0,0,2,2,1,2,0,1,2,2,1,1,1,3,1,1,2,1,1,1,2,1,1,2,1,3,4,5,1,5,5,3,5,2,4,4,4,4,4,5,4,5,4,5,4,3,3,2,3,1,4,5,4,4,5,4,4,4,4,3,4,14,11,8,8,8,32,35,25,28
505,2021/06/28 1:56:56 p. m. GMT,NA,28,Mujer,Soltero,No,0,Sí,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,2,1,1,1,1,1,1,4,2,2,0,0,0,0,1,0,1,0,2,5,5,1,5,2,3,4,4,3,4,4,5,4,4,2,1,5,5,4,1,3,3,2,2,5,3,2,3,2,2,2,3,3,3,3,3,1,1,1,1,1,1,2,3,4,3,4,4,4,4,2,4,10,6,24,24,12,23,21,11,25
506,2021/06/29 3:12:14 p. m. GMT,NA,29,Mujer,Soltero,Sí,6,Sí,0 a 290.000,Particular subvencionado,Técnico profesional,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,3,3,1,4,4,3,5,5,5,5,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,13,7,11,7,8,34,32,28,27
507,2021/09/08 9:07:08 p. m. GMT,NA,20,Hombre,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,0,1,0,0,2,3,4,4,4,2,4,3,4,3,1,5,5,1,1,2,3,4,4,4,3,5,5,5,5,4,4,5,5,3,3,4,4,3,3,3,4,4,4,3,3,4,4,5,3,4,3,3,3,4,3,2,3,10,6,19,22,9,38,27,30,21
508,2021/09/15 6:28:39 p. m. GMT,NA,21,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,1,2,1,1,2,1,1,0,2,1,0,0,2,2,0,0,0,2,4,5,3,3,2,4,4,3,4,1,2,4,5,2,2,2,4,5,5,2,5,5,4,5,4,5,5,4,2,3,3,5,4,4,3,4,5,4,2,3,4,3,5,4,4,5,2,4,2,4,2,5,14,7,26,18,8,37,28,30,24
509,2021/09/23 8:30:19 p. m. GMT,NA,22,Hombre,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,0,0,0,0,1,1,1,3,1,1,1,0,0,1,0,1,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,21,15,12,24,24,24,21
511,2021/10/01 8:21:28 p. m. GMT,NA,21,Mujer,Soltero,No,0,No,700.000 a 890.000,Municipal,Científico humanista,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,1,2,1,2,1,1,1,1,1,0,0,0,0,1,1,1,1,1,2,2,4,1,2,2,2,1,2,1,1,4,3,2,1,2,2,4,4,5,1,4,4,3,5,4,4,4,4,4,4,4,5,4,3,4,4,4,4,3,4,5,4,5,4,4,4,4,4,4,5,4,4,13,6,10,17,7,32,32,33,29
512,2021/10/04 1:56:06 a. m. GMT,NA,21,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,1,2,1,1,2,1,1,2,0,0,0,0,2,0,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,4,4,5,5,5,5,5,4,4,4,5,5,4,5,5,5,14,9,10,7,4,39,38,37,33
513,2021/10/10 10:37:35 p. m. GMT,NA,44,Mujer,Soltero,No,0,Sí,Sobre los valores anteriores,Particular pagado,Científico humanista,Técnica educación superior completa,Universitaria completa,Autismo,2,2,1,1,2,2,0,0,2,0,1,2,1,0,1,0,2,0,2,0,0,2,5,5,5,5,1,5,5,1,5,3,3,1,2,1,3,1,3,5,3,1,3,3,4,5,1,3,3,3,3,2,2,2,2,2,3,2,5,3,1,5,3,3,5,3,4,3,2,5,5,3,2,3,12,8,28,17,8,25,18,28,23
514,2021/10/13 9:37:52 p. m. GMT,NA,23,Hombre,Soltero,Sí,20,No,500.000 a 690.000,Municipal,Técnico profesional,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,2,0,1,0,1,1,0,1,1,0,2,1,0,1,2,0,0,0,2,4,5,2,4,3,4,3,4,4,2,4,4,2,1,4,2,5,4,3,2,4,4,2,3,2,3,3,4,4,4,3,4,4,2,3,3,4,4,3,5,4,4,4,3,4,4,4,4,4,4,3,4,7,7,20,22,13,25,27,31,27
515,2021/10/18 4:42:07 p. m. GMT,NA,20,Hombre,Soltero,No,0,Sí,500.000 a 690.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,2,1,2,2,1,2,1,2,0,2,2,0,2,1,1,0,0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,4,4,4,4,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,1,4,5,5,5,5,5,4,5,16,10,7,6,5,28,32,31,34
516,2021/10/18 5:53:44 p. m. GMT,NA,21,Hombre,Soltero,No,0,No,700.000 a 890.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,1,1,1,0,2,0,0,0,1,2,0,2,2,1,0,0,1,0,0,2,2,3,2,2,3,2,1,2,2,1,2,1,2,2,2,3,1,5,5,1,4,4,4,5,2,2,2,3,4,3,3,4,4,4,5,5,4,3,2,3,3,5,5,4,4,5,4,4,4,5,5,4,5,8,13,9,8,26,32,29,31
517,2021/10/28 5:06:07 a. m. GMT,NA,22,Mujer,Soltero,No,0,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,2,0,2,2,2,2,0,1,2,2,1,1,2,2,0,2,0,2,2,4,5,4,4,1,4,4,5,1,1,5,5,3,2,1,5,5,5,5,1,4,2,4,1,4,1,4,4,3,3,4,4,2,3,5,2,5,1,2,1,5,1,5,5,4,4,5,5,3,5,5,5,13,14,22,24,8,24,26,25,32
518,2021/10/31 6:26:12 p. m. GMT,NA,22,Mujer,Soltero,Sí,8,Sí,500.000 a 690.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,2,1,0,2,2,0,1,1,0,1,0,0,1,1,0,1,0,2,5,5,5,3,1,5,5,1,5,1,5,5,5,5,3,2,4,5,3,2,5,4,4,2,5,3,3,3,2,2,2,3,4,1,3,3,2,2,1,2,3,2,4,3,4,4,5,5,5,5,5,5,13,5,35,22,6,29,20,19,34
519,2021/11/09 8:23:41 p. m. GMT,NA,23,Mujer,Soltero,Sí,40,Sí,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,2,2,1,0,0,1,2,0,1,2,0,1,1,2,2,0,2,4,2,5,3,2,5,5,1,4,2,2,4,5,3,2,1,5,2,5,3,4,4,3,4,4,5,5,5,3,3,3,4,3,2,3,4,2,3,2,4,4,5,2,5,4,2,4,4,4,5,4,5,10,11,31,16,7,34,25,27,28
520,2021/11/10 1:53:37 p. m. GMT,NA,22,Mujer,Soltero,Sí,8,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,2,1,2,1,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0,2,2,2,4,2,2,2,2,1,2,1,1,1,1,1,1,1,1,3,5,1,5,5,5,5,5,5,5,5,3,4,5,3,3,1,4,5,5,5,4,4,5,5,4,3,4,4,4,4,4,3,2,2,12,2,14,7,5,40,28,35,23
NA,2019/04/01 4:23:11 p. m. GMT,NA,25,Mujer,Conviviente,No,0,Sí,700.000 a 890.000,Municipal,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,2,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,3,2,2,3,2,2,2,2,2,2,2,1,2,3,4,3,4,4,3,4,4,2,3,3,2,3,3,4,4,3,4,4,4,4,3,4,4,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,13,0,15,11,10,27,27,30,NA
NA,2019/04/01 4:51:35 p. m. GMT,NA,25,Mujer,Soltero,Sí,20,No,300.000 a 490.000,Particular subvencionado,Técnico profesional,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,1,2,1,1,1,2,0,1,0,1,0,0,0,1,1,1,0,0,2,2,2,1,2,4,1,1,2,1,1,1,2,1,2,1,1,1,5,5,1,4,4,5,5,2,4,5,5,4,4,4,4,4,4,4,4,4,4,3,5,5,5,3,2,4,NA,NA,NA,NA,NA,NA,NA,12,4,9,8,8,34,32,31,NA
NA,2019/04/01 10:27:04 p. m. GMT,NA,23,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Técnico profesional,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,2,1,1,2,1,1,1,1,1,0,0,0,1,1,0,1,0,1,2,4,4,2,2,3,2,2,2,2,1,2,2,2,2,2,4,2,4,4,3,4,4,4,3,4,4,5,5,4,4,3,2,4,4,4,4,4,4,2,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,13,5,16,12,8,33,29,28,NA
NA,2019/04/01 11:19:42 p. m. GMT,NA,24,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Técnico profesional,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,2,1,2,2,2,2,2,1,1,0,0,0,1,1,0,2,0,1,2,3,3,2,4,2,2,3,2,3,1,2,3,2,2,3,3,3,3,4,2,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,17,6,17,15,8,32,32,32,NA
